date,open,high,low,close,volume
2019-08-16,15.07,15.38,15.03,15.33,376721
2019-08-19,15.59,15.59,15.15,15.17,123573
2019-08-20,15.13,15.22,14.9,14.91,495881
2019-08-21,15.12,15.18,14.94,15.07,103467
2019-08-22,15.24,15.66,15.24,15.4,212060
2019-08-23,15.28,15.31,14.67,14.85,418894
2019-08-26,15.06,15.18,14.77,14.88,104275
2019-08-27,14.96,14.98,14.63,14.76,211224
2019-08-28,14.7,14.88,14.53,14.67,323684
2019-08-29,14.96,15.45,14.64,15.16,294445
2019-08-30,15.28,15.44,15.15,15.31,130943
2019-09-03,15.14,15.22,14.91,15.05,133355
2019-09-04,15.23,15.78,15.23,15.71,340151
2019-09-05,15.95,16.78,15.91,16.12,436803
2019-09-06,16.21,16.21,15.98,16.0,238661
2019-09-09,15.98,16.52,15.98,16.36,147583
2019-09-10,16.34,17.28,16.04,17.25,469856
2019-09-11,17.28,18.37,17.06,18.28,384268
2019-09-12,18.3,18.46,17.9,18.19,177872
2019-09-13,18.19,18.54,18.1,18.41,148503
